15:06:42 | LOCK_ACQUIRED | sim=0.46
15:06:42 | MOVE_LEFT | nose_x=0.43
15:06:43 | MOVE_LEFT | nose_x=0.42
15:06:44 | MOVE_LEFT | nose_x=0.43
15:06:45 | MOVE_LEFT | nose_x=0.42
15:06:46 | BLINK | EAR=0.08
15:06:46 | MOVE_LEFT | nose_x=0.42
15:06:47 | SMILE | ratio=0.45
15:06:47 | MOVE_LEFT | nose_x=0.42
15:06:47 | SMILE | ratio=0.46
15:06:47 | MOVE_LEFT | nose_x=0.43
15:06:47 | SMILE | ratio=0.46
15:06:47 | MOVE_LEFT | nose_x=0.43
15:06:48 | SMILE | ratio=0.46
15:06:48 | MOVE_LEFT | nose_x=0.43
15:06:48 | SMILE | ratio=0.46
15:06:48 | MOVE_LEFT | nose_x=0.43
15:06:48 | SMILE | ratio=0.47
15:06:48 | MOVE_LEFT | nose_x=0.44
15:06:48 | SMILE | ratio=0.46
15:06:48 | MOVE_LEFT | nose_x=0.43
15:06:48 | SMILE | ratio=0.46
15:06:48 | MOVE_LEFT | nose_x=0.43
15:06:48 | SMILE | ratio=0.46
15:06:48 | MOVE_LEFT | nose_x=0.43
15:06:48 | SMILE | ratio=0.46
15:06:48 | MOVE_LEFT | nose_x=0.43
15:06:48 | SMILE | ratio=0.46
15:06:48 | MOVE_LEFT | nose_x=0.43
15:06:49 | SMILE | ratio=0.45
15:06:49 | MOVE_LEFT | nose_x=0.43
15:06:49 | SMILE | ratio=0.46
15:06:49 | MOVE_LEFT | nose_x=0.43
15:06:49 | SMILE | ratio=0.46
15:06:49 | MOVE_LEFT | nose_x=0.43
15:06:49 | SMILE | ratio=0.46
15:06:49 | MOVE_LEFT | nose_x=0.43
15:06:49 | SMILE | ratio=0.47
15:06:49 | MOVE_LEFT | nose_x=0.43
15:06:49 | SMILE | ratio=0.48
15:06:49 | MOVE_LEFT | nose_x=0.43
15:06:49 | SMILE | ratio=0.47
15:06:49 | MOVE_LEFT | nose_x=0.43
15:06:49 | SMILE | ratio=0.46
15:06:49 | MOVE_LEFT | nose_x=0.43
15:06:50 | SMILE | ratio=0.47
15:06:50 | MOVE_LEFT | nose_x=0.43
15:06:50 | SMILE | ratio=0.46
15:06:50 | MOVE_LEFT | nose_x=0.43
15:06:50 | SMILE | ratio=0.47
15:06:50 | MOVE_LEFT | nose_x=0.43
15:06:50 | SMILE | ratio=0.46
15:06:50 | MOVE_LEFT | nose_x=0.43
15:06:50 | SMILE | ratio=0.45
15:06:50 | MOVE_LEFT | nose_x=0.43
15:06:51 | MOVE_LEFT | nose_x=0.43
15:06:52 | MOVE_LEFT | nose_x=0.43
15:06:53 | MOVE_RIGHT | nose_x=0.60
15:06:55 | MOVE_RIGHT | nose_x=0.71
15:06:56 | MOVE_RIGHT | nose_x=0.86
15:06:57 | MOVE_RIGHT | nose_x=0.77
15:06:58 | MOVE_RIGHT | nose_x=0.69
15:06:58 | BLINK | EAR=0.20
15:06:58 | MOVE_RIGHT | nose_x=0.65
15:07:00 | MOVE_RIGHT | nose_x=0.62
15:07:01 | MOVE_RIGHT | nose_x=0.68
15:07:01 | MOVE_LEFT | nose_x=0.45
15:07:02 | MOVE_LEFT | nose_x=0.22
15:07:03 | MOVE_LEFT | nose_x=0.36
15:07:04 | MOVE_LEFT | nose_x=0.34
15:07:05 | MOVE_LEFT | nose_x=0.34
15:07:07 | MOVE_LEFT | nose_x=0.34
15:07:08 | MOVE_LEFT | nose_x=0.34
15:07:09 | MOVE_LEFT | nose_x=0.34
15:07:10 | MOVE_LEFT | nose_x=0.35
15:07:11 | MOVE_LEFT | nose_x=0.49
15:07:11 | MOVE_RIGHT | nose_x=0.60
15:07:12 | MOVE_RIGHT | nose_x=0.67
15:07:13 | MOVE_RIGHT | nose_x=0.67
15:07:14 | MOVE_RIGHT | nose_x=0.65
15:07:23 | MOVE_LEFT | nose_x=0.50
15:07:24 | MOVE_LEFT | nose_x=0.41
15:07:25 | MOVE_LEFT | nose_x=0.41
15:07:26 | MOVE_LEFT | nose_x=0.41
15:07:27 | MOVE_LEFT | nose_x=0.42
15:07:28 | MOVE_LEFT | nose_x=0.41
15:07:29 | MOVE_LEFT | nose_x=0.41
15:07:30 | MOVE_LEFT | nose_x=0.40
15:07:31 | MOVE_LEFT | nose_x=0.40
15:07:31 | BLINK | EAR=0.18
15:07:31 | MOVE_LEFT | nose_x=0.41
15:07:32 | MOVE_LEFT | nose_x=0.40
15:07:33 | MOVE_LEFT | nose_x=0.40
15:07:34 | MOVE_LEFT | nose_x=0.40
15:07:35 | MOVE_LEFT | nose_x=0.40
15:07:36 | MOVE_LEFT | nose_x=0.40
15:07:37 | MOVE_LEFT | nose_x=0.42
15:07:39 | MOVE_LEFT | nose_x=0.46
15:07:40 | MOVE_LEFT | nose_x=0.44
15:07:41 | MOVE_LEFT | nose_x=0.42
15:07:42 | MOVE_LEFT | nose_x=0.42
15:07:43 | MOVE_LEFT | nose_x=0.41
15:07:44 | MOVE_LEFT | nose_x=0.41
15:07:45 | MOVE_LEFT | nose_x=0.41
15:07:46 | MOVE_LEFT | nose_x=0.41
15:07:47 | MOVE_LEFT | nose_x=0.42
15:07:48 | BLINK | EAR=0.12
15:07:48 | MOVE_LEFT | nose_x=0.40
